,label,gender,profession,ideology_binary,ideology_multiclass,tweet
4017,@user10,male,journalist,right,moderate_right,"Ha muerto a los 82 años el abogado Matías Cortes,uno de los mejores conocedores de la historia de este país de la q èl escribió,desde el anonimato, algunos capítulos. Abogado de Jesus Polanco fundador de ‘El País”Influyó en la política,en la prensa y en la Judicatura DEP Matías"
33394,@user10,male,journalist,right,moderate_right,"El actor Eduardo Gómez ha fallecido este domingo a los 68 años de edad. Conocido por encarnar a Mariano Delgado en la televisiva serie ‘Aquí no hay quien viva’, ha sido el creador de la producción que lo catapultó a la fama, Alberto Caballero, quien ha confirmado el fallecimiento"
5912,@user10,male,journalist,right,moderate_right,"Cayetana Álvarez de Toledo, ha definido a la Alcaldesa Carmena como una “entrañable abuelita” q se dedica a “hacer crecer la política del rencor disfrazada de causas morales, y q un día “se descubrirá que las magdalenas q hace , las compra en un supermercado”."
16240,@user10,male,journalist,right,moderate_right,"El Tribunal Supremo será el órgano q decidirá sobre el recurso presentado por Carles Puigdemont, Antoni Comín y Clara Ponsatí contra su exclusión de la candidatura europea de JxCat y pronunciarse si pueden o no presentarse a las elecciones al Parlamento Europeo del próximo 26 M"
13894,@user10,male,journalist,right,moderate_right,"[POLITICAL_PARTY], [POLITICAL_PARTY] y [POLITICAL_PARTY] llegan a un acuerdo en Madrid para investir a Isabel Ayuso Entre los compromisos que sí asume [POLITICAL_PARTY] está la devolución de los MENAS si son mayores de edad, aplicación ""progresiva"" del cheque escolar o emplear los fondos de Cooperació para Mafrid."
35128,@user10,male,journalist,right,moderate_right,"La participación a las 18 horas superaba el 60%. En 2016 era de 51,21% Un aumento espectacular cuando aun faltan Dos horas para el cierre de los Colegios. Hasta ahora altas participaciones han ido unidas al triunfo del [POLITICAL_PARTY] pero esa regla se puede romper si hay mucho voto oculto"
49024,@user10,male,journalist,right,moderate_right,"Susana Díaz pide a Pablo Iglesias q no sea el causante,por segunda vez, de q no haya un presidente socialista La secretaria general del [POLITICAL_PARTY] andaluz recuerda la situación que se dio en 2016 y que Podemos ""tiene ahora la oportunidad de votar si “"
6248,@user10,male,journalist,right,moderate_right,"Un periodista español, tras la venta de los vídeos de Assange en laEmbajada de Ecuador (vídeo) Los presuntos extorsionadores que piden tres millones por imágenes y conversaciones del activista son de Alicante"
46383,@user10,male,journalist,right,moderate_right,"La mala noticia del día es la muerte de quien parecía inmortal :Arturo Fernandez , actor , productor, empresario y , sobre todo , amigo de tertulia mensual en el Cuenco de Pepa , se nos ha ido a los 90. Años Adiós querido Arturo DEP"
16792,@user10,male,journalist,right,moderate_right,El dilema de Albert Rivera: colocar a [POLITICAL_PARTY] más a la derecha o hacia la izquierda El líder de Ciudadanos debe decidir con su apoyo a gobiernos del [POLITICAL_PARTY] o del [POLITICAL_PARTY] si quiere consolidarse como líder de la oposición o ir a por su imagen más centrista
11249,@user10,male,journalist,right,moderate_right,"Hoy,Día Internacional de la Enfermera hay oposiciones en varias CCAA.a las q se presentan miles q viven desde hace 15 y 20 años de contratos precarios de solo días No puede haber medicina de calidad en estas condiciones de profesionales de la q depende la vida de Los enfermos"
33343,@user10,male,journalist,right,moderate_right,"Juan José Cortés,diputado del [POLITICAL_PARTY] por Huelva y padre de Mari Luz -asesinada en Huelva en 2008-ha presentado ante la Fiscalía denuncia contra 70 personas y cuatro medios de comunicación por ""los ataques e injurias y xenofobia por sus ingresos y el cobro de una pensión invalidez"
12206,@user10,male,journalist,right,moderate_right,"La portavoz del Govern se niega a responder una pregunta en castellano en rueda de prensa En el turno de las preguntas en castellano lo q se hace habitualmente es explicar y repetir lo que antes se ha preguntado en catalán, algo q hoy no se ha producido"
4758,@user10,male,journalist,right,moderate_right,Abascal Presidente de [POLITICAL_PARTY] acusa a Ciudadanos de tratarlos como el aparheid y pide a Casado y Rivera a una reunión en el Congreso de los Diputados De lo contrario no apoyará una solución en Murcia ( donde gobernará el [POLITICAL_PARTY]) ni en la Comunidad de Madrid .
9379,@user10,male,journalist,right,moderate_right,"Caso Villarejo: imputan al exCEO del BBVA Ángel Cano y al exjefe de seguridad del banco El BBVA contrató a Villarejo para frustar el asalto de Sacyr y el [POLITICAL_PARTY] al banco, un trabajo que pasaba por investigar a los principales promotores de la operación"
136,@user10,male,journalist,right,moderate_right,"El psicólogo a bordo del ‘Open Arms’:La situación es insostenible,corremos el riesgo de vivir una tragedia”Los 134 inmigrantes están al límite de sus fuerzas Se ha producido un intento de suicidio y q algunos han tratado de tirarse al mar"
49553,@user10,male,journalist,right,moderate_right,"La Junta Electoral Central,ha aceptado la petición de Ciudadanos y el [POLITICAL_PARTY] de excluir a los huidos Puigdemont,Toni Comín y Clara Ponsatí de la candidatura de Junts per Catalunya a las elecciones europeas La JEC ha determinado q los tres,no podrán presentarse a estas elecciones."
43936,@user10,male,journalist,right,moderate_right,"El [POLITICAL_PARTY] va a por Navarra y Canarias y deja la investidura de Sánchez en manos de [POLITICAL_PARTY] El pacto en Navarra adelanta que el PSN busca la comunidad. Sin UPN ni CC, la investidura solo sale si [POLITICAL_PARTY] o [POLITICAL_PARTY] se abstienen,lo q los [POLITICAL_PARTY] decían querer evitar"
544,@user10,male,journalist,right,moderate_right,“Que se j... Carmen Calvo”: la frase del entorno de Echenique que no conocía Garzon El líder de [POLITICAL_PARTY] mantuvo en secreto el plantón de Podemos a la vicepresidenta y se enteró por la ministra Montero de que era Pablo Iglesias el que no cogía el teléfono
9293,@user10,male,journalist,right,moderate_right,"Ustedes q viven seguros. En sus cálidos hogares. Ustedes q al volver a casa. Encuentran la comida caliente. Y rostros amigos. Pregúntense si es un hombre. El q trabaja en el lodo. El q no conoce la paz. El q lucha por medio pan. El q muere por un sí o un no"". Primo Levi . Buenas Noches"
5787,@user10,male,journalist,right,moderate_right,El escándalo ucraniano de Trump ; la gota que colma el vaso del abuso de Donald Trump - ¡Pepe Oneto
46431,@user10,male,journalist,right,moderate_right,"Segun laBBC : El cese de la usurpación comenzó hoy"", dijo @user, mientras que el ministro de Defensa @user habla de un intento de ""golpe de Estado"""
41119,@user10,male,journalist,right,moderate_right,"Guaidó libera de su arresto a Leopoldo López y convoca a los militares y al pueblo a tomar las calles de Venezuela El momento es ahora""dice en un vídeo donde aparece junto a López,en referencia a la puesta en marcha de la fase final de Operación Libertad"
23694,@user10,male,journalist,right,moderate_right,"Podemos activa la consulta a las bases para forzar una coalición en septiembre En las últimas horas el desacuerdo entre ambas formaciones se ha hecho patente, y tanto [POLITICAL_PARTY] como Podemos han pasado a la fase del relato para culpar al otro del desacuerdo"
19452,@user10,male,journalist,right,moderate_right,"El [POLITICAL_PARTY] ha explicado este viernes que cede un puesto al PNV en la Mesa del Senado para abrir el órgano de gobierno de la Cámara Alta a otra formación más allá de [POLITICAL_PARTY] y '[POLITICAL_PARTY]' y para darle al mismo tiempo una ""proyección territorial""."
16876,@user10,male,journalist,right,moderate_right,El ex número dos de Albert Rivera baraja dimitir de sus cargos en [POLITICAL_PARTY] por el giro a la derecha Francisco de la Torre no seguirá en las listas en caso de otras elecciones y planea abandonar la Ejecutiva 'naranja' y su escaño en el Congreso por el actual
17608,@user10,male,journalist,right,moderate_right,Respuesta de la vicepresidenta a la petición de Quim Torra de una entrevista con el Presidente para hablar de los presos “Todo el mundo puede comprender q no se pueden sentar el Presidente con el de una comunidad para ver qué ocurre con unos ciudadanos en un proceso judicial”
27732,@user105,male,politician,left,moderate_left,El [POLITICAL_PARTY] en el @user cuestionando a Duro Felguera. Esa es su forma de defender Asturias. La Ministra @user le pregunta al [POLITICAL_PARTY] si pretenden que se niegue las ayudas
30860,@user105,male,politician,left,moderate_left,"Hoy, más que nunca, la sociedad española necesita de concordia, de entendimiento y de unidad. Todo lo contrario a lo que se está promoviendo en la Plaza de Colón. 🌹 @user . #PorElReencuentro"
41295,@user105,male,politician,left,moderate_left,El Gobierno prorroga tres meses más las medidas en materia de desahucios y contratos de alquiler de vivienda. 🌹 @user. #PlanEspañaPuede
45268,@user105,male,politician,left,moderate_left,"Comenzando la reunión de la Comisión de Ciencia, Innovación y Universidades, del @user en la que comparece el Secretario General de Investigación para informar de la Estrategia Española de Ciencia, Tecnología e Innovación. Por el @user interviene @user"
2833,@user105,male,politician,left,moderate_left,Todos los españoles recordarán que la sociedad venció al virus mientras Casado solo pensaba en vencer al Gobierno. 🌹 @user. . #PlanEspañaPuede
1533,@user105,male,politician,left,moderate_left,"Para defender el #IngresoMínimoVital por el @user interviene @user, diputada por Asturias @user. Nadie mejor que ella. Los y las [POLITICAL_PARTY] conocemos su trabajo todos estos años desde el partido y el gobierno para sacar adelante #ElIngresoMásDigno . #Yovotosí"
26540,@user105,male,politician,left,moderate_left,"Continúa la Comisión de Ciencia, Innovación y Univ. del @user, centrada ahora en el #PGE2021 de Universidades @user, que casi se duplica respecto al anterior. Becas, reducción tasas, ampliación de plantilla docente e investigadora...! ¡Apuesta clara por la uni!"
22722,@user105,male,politician,left,moderate_left,En el pleno del @user con la comparecencia del presidente del Gobierno @user para informar sobre los últimos consejos europeos y la gestión del Estado de alarma por la crisis de la covid
27721,@user105,male,politician,left,moderate_left,Señor Casado: se ha reunido con embajadores y con sus socios europeos para pedirles que sean más duros con el Gobierno mientras el presidente negociaba los fondos. 🌹 @user. . #PlanEspañaPuede
47706,@user105,male,politician,left,moderate_left,"Hoy se cumplen tres años de la llegada de un Gobierno progresista. . Por delante tenemos 32 meses de legislatura para continuar trabajando por un país más justo, libre e igualitario. . Seguimos #AvanzandoEnDerechos ✊🏻🌹"
587,@user105,male,politician,left,moderate_left,"¡Feliz día de Asturias! Especialmente a quienes viven este día fuera de la tierrina. ¡Que paséis un bon día d'Asturies!. Este año toca desde Madrid, ya que esta tarde tenemos pleno del @user @user @user @user @user"
9566,@user105,male,politician,left,moderate_left,"El #IngresoMínimoVital será hoy una realidad tras su aprobación en el @user. Un avance en derechos que nos hará un país más digno, un país que legisla para las personas que más lo necesitan. Como siempre, una medida histórica como esta lleva el sello del @user . #YoVotoSí"
41580,@user105,male,politician,left,moderate_left,"Hoy sacamos adelante, casi por unanimidad, una Proposición No de Ley del @user para reformar el proceso de homologación de títulos. Algo muy demandado y sobre lo que ya está trabajando el @user con la idea de simplificar y agilizar los procedimientos."
23274,@user105,male,politician,left,moderate_left,"@user @user @user así es @user, muy lamentable que nuestra querida ciudad y su gente tengáis que soportar declaraciones como estas."
29797,@user105,male,politician,left,moderate_left,Esta mañana asistí en Oviedo al memorial presidido por @user en recuerdo de las víctimas del #COVID19 en #Asturias
39758,@user105,male,politician,left,moderate_left,Comparecencia en Comisión de la Ministra de Educación @user . «el sistema educativo sólo tiene calidad si busca la excelencia y la equidad. El sistema educativo no puede dejar a nadie atrás»
30044,@user105,male,politician,left,moderate_left,"El Gobierno @user a través del Instituto para la Diversificación y Ahorro de la Energía (IDAE), amplia en 7,3 mill. euros, destinados a Asturias, el presupuesto del Programa de Ayudas para Actuaciones de Eficiencia Energética en Pyme y Gran Empresa del Sector Industrial"
9831,@user105,male,politician,left,moderate_left,Europa tiene que enfrentarse al COVID-19 como se espera de ella. Ni la austeridad ni los recortes son el camino. Queremos que la reconstrucción se inicie desde lo público. Es ahora cuando Europa ha de ser Europa. @user en el pleno del @user
45511,@user105,male,politician,left,moderate_left,"La Comisión Ejecutiva Autonómica de la FSA-[POLITICAL_PARTY] se suma al duelo nacional por el coronavirus, apoya la posibilidad de impulsar un elemento de recuerdo permanente de la pandemia y remarca la apuesta por una sanidad ""sólida y robusta"""
26165,@user105,male,politician,left,moderate_left,"@user @user Ahí está el principal problema, hay bastante investigación hecha al respecto desde la Didáctica de la Historia @user . Pero como alternativa a los libros de texto hay propuestas y proyectos innovadores de bastante interés."
49903,@user105,male,politician,left,moderate_left,Siero decreta tres días de luto por el fallecimiento de su exalcalde
8641,@user105,male,politician,left,moderate_left,"Suponen el tercer paquete de medidas de apoyo aprobadas por el Gobierno, cincuenta nuevas iniciativas para completar la protección y el respaldo a empresas, autónomos y a los colectivos más vulnerables. Se incluyen en un Real Decreto-Ley que debe ser convalidado en @user"
22568,@user105,male,politician,left,moderate_left,"Juanjo Corrales agradeció mucho que asistieras a aquel acto como Secretario General de la @user. Gracias por tus palabras, @user"
46496,@user105,male,politician,left,moderate_left,"El Ingreso Mínimo Vital aprobado hoy debe mucho a personas como @user y @user. Este artículo de hace unos años muestra cómo se diseñó e incorporó al programa del @user. Ahora es aprobado por un gobierno progresista, y lleva el sello socialista en su adn. @user"
48392,@user105,male,politician,left,moderate_left,"""Contraer una enfermedad terminal degenerativa, al parecer, es delito. La condena es un final cruel y doloroso"". Hijo de Maribel Tellaetxe. . Ella prefirió sufrir durante años para evitar las consecuencias penales a su familia. 🌹 @user . #LaLibertadDeElegir"
23455,@user105,male,politician,left,moderate_left,La apuesta del Principado por los pozos: que todos sean parques científico-tecnológicos
25484,@user105,male,politician,left,moderate_left,"@user @user Además, la ley de 1970, aunque supuso un avance, seguía clasificando al alumnado desde los 14 años, la LOGSE no sólo avanzó en la escolarización hasta los 16 años, igualando a todo el alumnado, sino que recogió los resultados de la renovación pedagógica de los años ochenta"
41854,@user105,male,politician,left,moderate_left,Más de 60 entidades españolas suscriben el Pacto por la Ciencia y la Innovación
18151,@user105,male,politician,left,moderate_left,"@user Lo siento mucho, Diego, un abrazo"
29772,@user105,male,politician,left,moderate_left,"Oponerse a todo, negarse a todo, incluso a la palabra, no es un ejercicio de coherencia sino una confesión de debilidad. . 🌹 Los #PGEDePaís2021 son el resultado de una negociación entre partidos de signo muy distinto. . 🏛️ @user"
19616,@user105,male,politician,left,moderate_left,Amazon instalará en Bobes su nuevo almacén regulador
8224,@user105,male,politician,left,moderate_left,Aquí la bancada del [POLITICAL_PARTY] y [POLITICAL_PARTY] celebrando el rechazo al decreto sobre remanentes de los ayuntamientos. . Celebran la ruptura del acuerdo mayoritario de la FEMP. . Celebran que habrá menos recursos al servicio de la ciudadanía. El [POLITICAL_PARTY] generó este problema en 2012 . @user
1698,@user105,male,politician,left,moderate_left,Lo que estamos votando es la ejecución de los fondos europeos. Que se puedan ejecutar con garantías. Por eso quiero dar las gracias a todos los partidos que han entendido el mensaje y la importancia del momento histórico que estamos viviendo. 🌹 @user
36753,@user105,male,politician,left,moderate_left,"Al fin ha salido este libro fruto del #proyectopattern, donde tuve el honor de participar estos años junto a mis compañeros de la @user Participo con un capítulo sobre los recursos literarios para trabajar la ciudad histórica con niños y niñas de primaria."
50064,@user105,male,politician,left,moderate_left,"Nunca la política, el entendimiento, el diálogo y el acuerdo han tenido mayor sentido que estos meses. . 🌹 @user. . #PlanEspañaPuede"
31195,@user105,male,politician,left,moderate_left,Los ciudadanos y ciudadanas nunca han estado tan unidos en algo como en esta lucha. Lo que esperan de quienes estamos en las responsabilidades públicas es la misma unidad. Es el momento de estar a la altura. . #AhoraTocaLucharJuntos @user
201,@user105,male,politician,left,moderate_left,Educación y Universidades aumentan en 128 millones las becas por la pandemia
17762,@user105,male,politician,left,moderate_left,5 de mayo. Día de Homenaje a los españoles deportados y fallecidos en campos de concentración y a todas las víctimas españolas del nazismo. La exposición El socialismo Asturiano en el exilio ha sido elaborada en 2020 por la Fundación José Barreiro
10850,@user105,male,politician,left,moderate_left,"El jueves 7 hay comparecencia del Ministro @user en la Comisión de Ciencia, Innovación y Universidades del @user. Los diputados y diputadas del @user nos hemos reunido para preparar la Comisión."
32805,@user105,male,politician,left,moderate_left,Un placer asistir hoy en #CangasdeOnis a la presentación de @user. Un colectivo impulsado por mujeres innovadoras y llenas de talento y creatividad. @user @user
19378,@user105,male,politician,left,moderate_left,"El ⁦@user⁩ me ha propuesto de nuevo como Portavoz de Universidades en la Comisión de Ciencia, Innovación y Universidades. . Muy agradecido y consciente de la responsabilidad que supone. Estoy seguro de que esta legislatura será clave en política universitaria."
14939,@user105,male,politician,left,moderate_left,"La universidad es educación, pero también es investigación. ☝️🏻 Hay mucho negacionista, pero también hay mucha derecha que solo reclama una mayor inversión en ciencia cuando no gobierna, pero reduce la inversión cuando lo hace. . 🌹 @user"
29981,@user105,male,politician,left,moderate_left,Los #PGEdePaís2021 son necesarios porque:. . ✅ Son palanca para la transformación del país. ✅ Son un revulsivo para el Estado del Bienestar. ✅ Son vehículo para canalizar los Fondos de la UE. ✅ Son la base para un nuevo contrato social. 🌹 @user
8286,@user105,male,politician,left,moderate_left,"Aunque las fechas propuestas para EBAU dependerán de la evolución de la pandemia, se establece que las . calificaciones se publiquen antes del 17 de julio para convocatoria ordinaria y antes del 18S en la extraordinaria. La asignación definitiva de plazas no se hará antes del 25 S"
12319,@user105,male,politician,left,moderate_left,"Esta mañana desde las portavocías del @user en Ciencia y Universidades del @user nos hemos reunido con @user. . Inicio del curso 2020/2021, nuevos retos y prioridades pensando en los y las estudiantes."
5032,@user105,male,politician,left,moderate_left,"Según ustedes, señorías del [POLITICAL_PARTY], si aplicamos el estado alarma somos totalitarios, si decae el estado de alarma también. 🌹 @user. . #PlanEspañaPuede"
29074,@user105,male,politician,left,moderate_left,"Esta semana nos hemos emocionado con la historia de María Domínguez, primera alcaldesa de nuestro país. . 🌹 La exhumación de sus restos mortales demuestran que su legado de democracia y feminismo continuará siempre con nosotros. . 💜 @user. . #8M2021"
37466,@user105,male,politician,left,moderate_left,El Ministerio de Ciencia e Innovación y el Ministerio de Universidades crean un órgano de coordinación
25739,@user105,male,politician,left,moderate_left,"En la jornada @user en el @user escuchando a los niños y niñas. Informe sobre la percepción de la violencia en la infancia . Por el @user interviene @user reivindicando la voz de los niños y niñas, pidiéndoles que nunca cambien los nombres a los problemas"
6208,@user105,male,politician,left,moderate_left,En curso los Presupuestos del Estado en el @user y los Presupuestos de Asturias en @user: se gana estabilidad política e inversión social. Ambos presupuestos suponen un apoyo a los sectores y personas más afectadas por la pandemia.@user @user
2660,@user110,female,politician,left,moderate_left,"Con todo respeto, @user es el Presidente elegido por la inmensa mayoría de la izquierda en Aragón y es el secretario general de los [POLITICAL_PARTY]. Su trayectoria le avala intachablemente. Tu afirmación me parece muy desafortunada, Pablo. Un abrazo"
28488,@user110,female,politician,left,moderate_left,La Unión Europea necesita autonomía estratégica y operativa…la otra solución es el seguidismo resignado ante los Estados Unidos (algunos preferirán China🙄)👇🏼👇🏼👇🏼👇🏼👇🏼👇🏼👇🏼👇🏼👇🏼👇🏼👇🏼👇🏼🖖🏻
28974,@user110,female,politician,left,moderate_left,"Sí, Darío, en este tiempo conviene recordar el elemento esencial de la democracia que son los votos. No existen carnés de izquierda expedidos por nadie salvo por los propios votantes progresistas. @user es, además, un gran Presidente de todos los aragoneses."
3680,@user110,female,politician,left,moderate_left,"Gracias, Laura! Muy orgullosa de presidir la @user y de volver a trabajar con ese equipazo liderado por @user"
36283,@user110,female,politician,left,moderate_left,"Es un atrevimiento, por mi parte, y los responsables de la gestión de las vacunas saben mucho más que yo pero...creo que el Ejército podría desarrollar un buen papel en la campaña de vacunación masiva."
1556,@user110,female,politician,left,moderate_left,"En política, como en la vida, se puede rectificar, se pueden reconocer errores e incluso se debe pedir perdón cuando se han hecho las cosas mal...eso es mucho mejor que esconderse o mentir #Kitchen"
3184,@user110,female,politician,left,moderate_left,"Mi oficina puede estar en Nicaragua, en Venezuela, en Marruecos, en Ginebra, en Bruselas, en Madrid, en Bielorrusia...ya ves qué cosas"
10824,@user110,female,politician,left,moderate_left,Tuve ocasión de conocer a Moise y a su esposa. Buena gente luchando contra las mafias y la pobreza que asola el país. Lo siento mucho😢. #HaitíChéri
4867,@user110,female,politician,left,moderate_left,"Sacrificar en parte la salud de los madrileños, en aras de no perjudicar aún más a nuestra maltrecha economía, es un falso dilema porque esta incertidumbre, esta inquietud en la que nos han instalado es también letal para salir del hoyo."
17712,@user110,female,politician,left,moderate_left,"En cualquier debate, reflexión, polémica, de asuntos que son muy de fondo, en democracia, cabe exigir respeto a todas las posiciones, exposición de argumentos sin ataques personales…#inteligencia y #tolerancia."
13700,@user110,female,politician,left,moderate_left,"@user, con todo respeto, tal vez debas escuchar a las feministas que se manifestaron ayer y no insultarlas. #LaFuerzaDeLasMujeres"
16270,@user110,female,politician,left,moderate_left,"Hoy, #LaInsula🏝 se ha llenado de gente muy joven para charlar con @user , @user y @user @user . un gusto escucharles a todos #10añosSinETA"
22994,@user110,female,politician,left,moderate_left,Me explico: he retuiteado a @user porque creo que está dando una noticia. Pero yo no estoy de acuerdo con la autodeterminación de género tal y como se plantea. Retuitear NO es compartir la posición.
11533,@user110,female,politician,left,moderate_left,"Puede que algún día, exista un Twitter color verde clarito en el que conversemos solo los que no insultamos al argumentar….como los vagones en silencio de @user o algo así….🧚🏻"
49583,@user110,female,politician,left,moderate_left,"Yo creo que, en la cena de Nochebuena, se va a hablar más de #COVIDー19 y de salud y trabajo que de Monarquía o República."
28898,@user110,female,politician,left,moderate_left,"Ana Orantes, 1997, quemada viva por su marido tras 40 años de violencia y abusos. 15 días antes de su asesinato, lo contó todo en televisión. Un testimonio que sacudió la sociedad. In Memoriam #AnaOrantes"
5945,@user110,female,politician,left,moderate_left,"No, no estoy de acuerdo. Retuiteo a @user porque creo que está dando una noticia. Retuiteo a gente con la que no estoy de acuerdo. Es muy sano!"
22307,@user110,female,politician,left,moderate_left,"Nunca he visto semejante nivel de agresividad en un debate...la posición no se gana ni por insultar más ni por gritar más fuerte. Hay que convencer a la mayoría, al menos en democracia. Las feministas hemos tratado de hacerlo siempre así."
13358,@user110,female,politician,left,moderate_left,"Carla Antonelli ha demostrado que tiene un “estilazo”…insultos y bloqueos, se llama su cuenta😉"
