Topic	PC	Keywords	Text	label	tweet
9.0	0.1504	madrid, publico, pandemia, salud, comunidad, sanitario, medida, covid, sanidad, situacion, servicio, ayuso, crisis, unido, virus, dato, vacuna, evitar, profesional, falta	['cancelar', 'sine', 'die', 'reunion', 'negociar', 'investidura', '.popular', 'isabel', 'ayuso', 'presidenta', 'comunidad', 'madrid', 'socio', 'fiable', 'sentido', 'sentar', 'rocio']	@user10	"[POLITICAL_PARTY] ha cancelado ""sine die"" sus reuniones con el [POLITICAL_PARTY] para negociar la investidura de la 'popular' Isabel Díaz Ayuso como presidenta de la Comunidad de Madrid. ""Si estamos hablando de socios que no son fiables no tendrá ningún sentido volverse a sentar"", ha dicho Rocío Monasterio."
11.0	0.1361	europa, fuerza, seguridad, canario, nacional, seguro, mantener, ayudar, foto, dificil, internacional, esperanza, puerta, guerra, agradecer, mostrar, condicion, solidaridad, labor, campo	['guardia', 'civil', 'detener', 'aeropuerto', 'sevilla', 'militar', 'brasileño', 'expedicion', 'avanzadilla', 'previo', 'viaje', 'programado', 'japon', 'presidente', 'brasileño', 'jair', 'bolsonaro', 'descubrir', 'portar', 'kilo', 'kilogramo', 'cocaina', 'maleta']	@user10	La Guardia Civil ha detenido en el aeropuerto de Sevilla a un militar brasileño q forma parte de una expedición de avanzadilla previa al viaje programado a Japón por el presidente brasileño, Jair Bolsonaro, al ser descubierto q portaba 39 Kilos kilogramos de cocaína en su maleta
1.0	0.1228	partido, votar, derecha, voto, eleccion, ganar, izquierda, perder, cataluña, gobernar, mayoria, campaña, interes, gobierno, favor, mocion, oposicion, catalan, pacto, pactar	['cis', 'tezano', 'acertar', 'rapido', 'analisis', 'sondeo', 'contener', 'horquilla', 'anchas', 'cifra', 'altisimo', 'indeciso', 'revelar', 'parecido', 'resultado']	@user10	El CIS de Tezanos acertó Un rápido análisis del sondeo del 9 de abril, que contenía horquillas muy anchas y daba una cifra altísima de indecisos, revela un gran parecido entre aquel y los resultados de este 28 de abril
0.0	0.1734	gobierno, congreso, ministro, comision, europeo, pleno, diputado, presentar, explicar, gestion, apoyar, exigir, grupo, propuesta, debate, mesa, aprobar, alarma, consejo, presupuesto	['portavoz', 'senado', 'portavoz', 'congreso', 'adriano', 'lastro', 'sumar', 'preocupacion', 'desalud', 'rubalcaba', 'recuperacion']	@user10	Pedro Sánchez, Pablo Casado, Albert Rivera y Pablo Iglesias, además de Susana Díaz, el portavoz en el Senado, Ander Gil y la portavoz en el Congreso Adriana Lastra se han sumado a la preocupación por el estado deSalud de Rubalcaba y su pronta recuperación
3.0	0.1217	politica, politico, frente, mano, forma, realidad, demostrar, palabra, paso, responsabilidad, idea, libre, libro, respeto, escribir, servir, reconocer, articulo, discurso, orgullo	['escenario', 'reconsiderar', 'sentencia', 'absolutorio', 'posibilidad', 'frase', 'textual', 'pronunciado', 'presidente', 'senado', 'titular', 'responder', 'texto']	@user10	"""Habría un escenario q podría reconsiderar esto,y es que la sentencia fuera absolutoria . Bueno es una posibilidad , yo no voy a entrar en eso "" ( Esta es la frase textual pronunciada por el presidente del Senado. Todo lo demás es un titular de El País que no responde al texto)"
11.0	0.1893	europa, fuerza, seguridad, canario, nacional, seguro, mantener, ayudar, foto, dificil, internacional, esperanza, puerta, guerra, agradecer, mostrar, condicion, solidaridad, labor, campo	['autoridad', 'hong', 'kong', 'cancelar', 'vuelo', 'manifestante', 'ocupar', 'terminal', 'aeropuerto', 'internacional', 'cuarto', 'cancelacion', 'cantidad', 'manifestante', 'impedir', 'pasajero', 'facturar']	@user10	"Las autoridades de Hong Kong cancelaron todos sus vuelos,después de q 5.000 manifestantes ocuparan la terminal del aeropuerto internacional por cuarto día y debido a las cancelaciones, por""una gran cantidad de manifestantes impidieron q los pasajeros pudieran facturar"""
7.0	0.1289	calle, enhorabuena, equipo, feliz, celebrar, honor, alcalde, vecino, cultura, programa, obra, noche, provincia, suerte, participar, compartir, historia, acompañar, visitar, ayuntamiento	['pandilla', 'millonario', 'jeff', 'bezo', 'navegar', 'balear', 'barco', 'cubierto', 'habitacion', 'jacuzzi', 'spa', 'bodega', 'cine', 'privado', 'pantalla', 'gigante', 'plasma', 'cancha', 'baloncesto']	@user10	La pandilla de millonarios de Jeff Bezos navega por Baleares en un barco q tiene cinco cubiertas y 82 habitaciones con jacuzzi, un spa, una bodega, cine privado con pantalla gigante de plasma y hasta una cancha de baloncesto.
12.0	0.1363	españa, gobierno, español, presidente, andalucia, cumplir, apoyo, contar, merecer, tierra, permitir, esfuerzo, punto, recuperar, alto, andaluz, junta, region, representar, historico	['elcano', 'vasco', 'rebelar', 'magallan', 'terminar', 'culminar', 'gesta', 'bordo', 'nave', '.victorio', 'hombre', 'vuelta', 'demostrar', 'tierra', 'esferico']	@user10	Juan Sebastián Elcano, el vasco que se rebeló contra Magallanes y terminó culminando su gesta A bordo de la nave 'Victoria' fue el primer hombre en dar la vuelta al mundo demostrando que la Tierra era esférica.
1.0	0.1087	partido, votar, derecha, voto, eleccion, ganar, izquierda, perder, cataluña, gobernar, mayoria, campaña, interes, gobierno, favor, mocion, oposicion, catalan, pacto, pactar	['frente', 'ataque', 'falta', 'independencia', 'lajystivia', 'juzgado', 'contencioso', 'madrid', 'visto', 'expresidente', 'generalitat', 'puigdemont', 'exconsejero', 'fugado', 'comin', 'ponsati', 'concurrir', 'eleccion', 'europeo']	@user10	Frente a los ataques a la falta de independencia de laJystivia: Un juzgado de lo Contencioso de Madrid da el visto bueno a que el expresidente de la Generalitat Puigdemont y otros dos exconsejeros fugados Toni Comin y Clara Ponsati concurran a las Elecciones europeas
8.0	0.1337	familia, vida, amigo, compañero, casa, hijo, apoyo, recordar, padre, sentir, muerte, fuerte, morir, abrazo, madre, miedo, sufrir, paz, querido, pena	['pensamiento', 'inteligente', 'sencillo', 'ternura', 'sencillo', 'bondadoso', 'olvidar', 'muerto', 'vivo', 'carne', 'hombre', '--oscuro', 'torpe', 'habitar', 'angel', 'gonzalez', 'noche']	@user10	Tu pensamiento me hace. inteligente, y en tu sencilla. ternura, yo soy también sencillo. y bondadoso. Pero si tú me olvidas. quedaré muerto sin que nadie. lo sepa. Verán viva. mi carne, pero será otro hombre. —oscuro, torpe, malo— el que la habita... . Ángel González . Buenas Noches
11.0	0.1286	europa, fuerza, seguridad, canario, nacional, seguro, mantener, ayudar, foto, dificil, internacional, esperanza, puerta, guerra, agradecer, mostrar, condicion, solidaridad, labor, campo	['proyecto', 'politico', 'resumir', 'maximo', 'beneficio', 'politico', 'vaso', 'vaso', 'plato', 'plato', 'español', 'español', 'español']	@user10	"“Todo su proyecto político se resume en una máxima: cuanto peor mejor para todos y cuanto peor para todos mejor, mejor para mí el suyo. Beneficio político Ademas un vaso es un vaso y un plato es un plato"" y los españoles son muy españoles y mucho españoles” M.Rajoy"
1.0	0.145	partido, votar, derecha, voto, eleccion, ganar, izquierda, perder, cataluña, gobernar, mayoria, campaña, interes, gobierno, favor, mocion, oposicion, catalan, pacto, pactar	['orgullo', 'caricatura', 'denigrante', 'lgtbi', 'madre', 'padre', 'calle', 'portal', 'casa', 'espectaculo', 'lider', 'partido', 'ultraderecha']	@user10	Monasterio cree que el Orgullo es una “caricatura denigrante” de las personas LGTBI Cuando una madre y un padre salen a la calle del portal de su casa no tienen por qué encontrarse con ese espectáculo”, dice la líder del partido de ultraderecha
0.0	0.114	gobierno, congreso, ministro, comision, europeo, pleno, diputado, presentar, explicar, gestion, apoyar, exigir, grupo, propuesta, debate, mesa, aprobar, alarma, consejo, presupuesto	['candidata', 'comunidad', 'madrid', 'rocio', 'anunciar', '.preacuerdo', 'mesa', 'asamblea', 'olvidar', '.asquito', 'producir', 'formacion', 'santiago', '.firmar', 'acuerdo']	@user10	"La candidata de [POLITICAL_PARTY] a la Comunidad de Madrid, Rocío Monasterio, ha anunciado q hay un ""preacuerdo"" para la Mesa de la Asamblea y ha dicho q Ciudadanos tendrá q olvidarse del ""asquito"" que, le produce la formación de Santiago Abascal porque hoy mismo, van a ""firmar acuerdos""."
5.0	0.1193	libertad, defender, español, democracia, justicia, victima, pueblo, eta, historia, defensa, rey, odio, memoria, constitucion, acto, democratico, institucion, vasco, recordar, dignidad	"['morir', 'abogado', 'matio', 'corte', 'conocedor', 'historia', 'escribir', 'anonimato', 'capitulo', 'abogado', 'jesus', 'polanco', 'fundador', ""'el"", 'influir', 'politica', 'prensa', 'judicatura', 'matia']"	@user10	Ha muerto a los 82 años el abogado Matías Cortes,uno de los mejores conocedores de la historia de este país de la q èl escribió,desde el anonimato, algunos capítulos. Abogado de Jesus Polanco fundador de ‘El País”Influyó en la política,en la prensa y en la Judicatura DEP Matías
7.0	0.1207	calle, enhorabuena, equipo, feliz, celebrar, honor, alcalde, vecino, cultura, programa, obra, noche, provincia, suerte, participar, compartir, historia, acompañar, visitar, ayuntamiento	['actor', 'eduardo', 'fallecer', 'domingo', 'edad', 'conocido', 'encarnar', 'mariano', 'delgado', 'televisivo', 'serie', 'creador', 'produccion', 'catapultar', 'fama', 'alberto', 'caballero', 'confirmar', 'fallecimiento']	@user10	El actor Eduardo Gómez ha fallecido este domingo a los 68 años de edad. Conocido por encarnar a Mariano Delgado en la televisiva serie ‘Aquí no hay quien viva’, ha sido el creador de la producción que lo catapultó a la fama, Alberto Caballero, quien ha confirmado el fallecimiento
7.0	0.1054	calle, enhorabuena, equipo, feliz, celebrar, honor, alcalde, vecino, cultura, programa, obra, noche, provincia, suerte, participar, compartir, historia, acompañar, visitar, ayuntamiento	['cayetana', 'alvarez', 'toledo', 'definir', 'alcaldesa', 'carmeno', 'entrañable', 'abuelita', 'dedicar', 'crecer', 'politica', 'rencor', 'disfrazado', 'causa', 'moral', 'descubrir', 'magdalena', 'compra', 'superm', 'ado']	@user10	Cayetana Álvarez de Toledo, ha definido a la Alcaldesa Carmena como una “entrañable abuelita” q se dedica a “hacer crecer la política del rencor disfrazada de causas morales, y q un día “se descubrirá que las magdalenas q hace , las compra en un supermercado”.
0.0	0.1634	gobierno, congreso, ministro, comision, europeo, pleno, diputado, presentar, explicar, gestion, apoyar, exigir, grupo, propuesta, debate, mesa, aprobar, alarma, consejo, presupuesto	['tribunal', 'supremo', 'organo', 'decidir', 'recurso', 'presentado', 'carle', 'puigdemont', 'antoni', 'comin', 'ponsati', 'exclusion', 'candidatura', 'europeo', 'pronunciar', 'presentar', 'eleccion', 'parlamento', 'europeo']	@user10	El Tribunal Supremo será el órgano q decidirá sobre el recurso presentado por Carles Puigdemont, Antoni Comín y Clara Ponsatí contra su exclusión de la candidatura europea de JxCat y pronunciarse si pueden o no presentarse a las elecciones al Parlamento Europeo del próximo 26 M
9.0	0.1052	madrid, publico, pandemia, salud, comunidad, sanitario, medida, covid, sanidad, situacion, servicio, ayuso, crisis, unido, virus, dato, vacuna, evitar, profesional, falta	['acuerdo', 'madrid', 'investir', 'isabel', 'ayuso', 'compromiso', 'asumir', 'devolucion', 'mena', 'edad', 'aplicacion', '.progresivo', 'cheque', 'escolar', 'fondo', 'cooperacio', 'mafrid']	@user10	"[POLITICAL_PARTY], [POLITICAL_PARTY] y [POLITICAL_PARTY] llegan a un acuerdo en Madrid para investir a Isabel Ayuso Entre los compromisos que sí asume [POLITICAL_PARTY] está la devolución de los MENAS si son mayores de edad, aplicación ""progresiva"" del cheque escolar o emplear los fondos de Cooperació para Mafrid."
2.0	0.0951	millon, empleo, pagar, plan, empresa, trabajador, sector, impuesto, fondo, euro, ayuda, economia, autonomo, crisis, subir, dinero, luz, EUR, paro, reforma	['participacion', 'superar', 'aumento', 'espectacular', 'faltar', 'cierre', 'colegio', 'alto', 'participacion', 'unido', 'triunfo', 'regla', 'romper', 'voto', 'oculto']	@user10	La participación a las 18 horas superaba el 60%. En 2016 era de 51,21% Un aumento espectacular cuando aun faltan Dos horas para el cierre de los Colegios. Hasta ahora altas participaciones han ido unidas al triunfo del [POLITICAL_PARTY] pero esa regla se puede romper si hay mucho voto oculto
4.0	0.1008	social, futuro, cambio, proyecto, necesitar, acuerdo, compromiso, real, oportunidad, avanzar, justo, camino, respuesta, objetivo, dialogo, economico, reto, pension, sistema, solucion	['causante', 'presidente', 'socialista', 'secretaria', 'andaluz', 'recordar', 'situacion', 'oportunidad', 'votar']	@user10	"Susana Díaz pide a Pablo Iglesias q no sea el causante,por segunda vez, de q no haya un presidente socialista La secretaria general del [POLITICAL_PARTY] andaluz recuerda la situación que se dio en 2016 y que Podemos ""tiene ahora la oportunidad de votar si “"
10.0	0.1427	caso, mentira, civil, verguenza, negar, cara, periodista, policia, juez, condenar, denunciar, razon, corrupcion, mentir, grave, cargo, informacion, prensa, tipo, falso	['periodista', 'español', 'venta', 'video', 'assange', 'laembajada', 'ecuador', 'video', 'presunto', 'extorsionador', 'millon', 'imagen', 'conversacion', 'activista', 'alicante']	@user10	Un periodista español, tras la venta de los vídeos de Assange en laEmbajada de Ecuador (vídeo) Los presuntos extorsionadores que piden tres millones por imágenes y conversaciones del activista son de Alicante
8.0	0.1559	familia, vida, amigo, compañero, casa, hijo, apoyo, recordar, padre, sentir, muerte, fuerte, morir, abrazo, madre, miedo, sufrir, paz, querido, pena	['noticia', 'muerte', 'inmortal', 'arturo', 'fernandez', 'actor', 'productor', 'empresario', 'amigo', 'tertulia', 'mensual', 'cuenco', 'pepa', 'adios', 'querido', 'arturo']	@user10	La mala noticia del día es la muerte de quien parecía inmortal :Arturo Fernandez , actor , productor, empresario y , sobre todo , amigo de tertulia mensual en el Cuenco de Pepa , se nos ha ido a los 90. Años Adiós querido Arturo DEP
1.0	0.1863	partido, votar, derecha, voto, eleccion, ganar, izquierda, perder, cataluña, gobernar, mayoria, campaña, interes, gobierno, favor, mocion, oposicion, catalan, pacto, pactar	['dilema', 'colocar', 'derecha', 'izquierda', 'lider', 'decidir', 'apoyo', 'gobierno', 'querer', 'consolidar', 'lider', 'oposicion', 'imagen', 'centrista']	@user10	El dilema de Albert Rivera: colocar a [POLITICAL_PARTY] más a la derecha o hacia la izquierda El líder de Ciudadanos debe decidir con su apoyo a gobiernos del [POLITICAL_PARTY] o del [POLITICAL_PARTY] si quiere consolidarse como líder de la oposición o ir a por su imagen más centrista
9.0	0.1245	madrid, publico, pandemia, salud, comunidad, sanitario, medida, covid, sanidad, situacion, servicio, ayuso, crisis, unido, virus, dato, vacuna, evitar, profesional, falta	['internacional', 'enfermera', 'oposicion', 'ccaa.a', 'presentar', 'contrato', 'precario', 'medicina', 'calidad', 'condicion', 'profesional', 'depender', 'vida', 'enfermo']	@user10	Hoy,Día Internacional de la Enfermera hay oposiciones en varias CCAA.a las q se presentan miles q viven desde hace 15 y 20 años de contratos precarios de solo días No puede haber medicina de calidad en estas condiciones de profesionales de la q depende la vida de Los enfermos
10.0	0.131	caso, mentira, civil, verguenza, negar, cara, periodista, policia, juez, condenar, denunciar, razon, corrupcion, mentir, grave, cargo, informacion, prensa, tipo, falso	['diputado', 'huelva', 'padre', 'mari', 'luz', '-asesinado', 'huelva', 'presentar', 'fiscalia', 'denuncia', 'comunicacion', 'ataque', 'injuria', 'xenofobia', 'ingreso', 'cobro', 'pension', 'invalidez']	@user10	"Juan José Cortés,diputado del [POLITICAL_PARTY] por Huelva y padre de Mari Luz -asesinada en Huelva en 2008-ha presentado ante la Fiscalía denuncia contra 70 personas y cuatro medios de comunicación por ""los ataques e injurias y xenofobia por sus ingresos y el cobro de una pensión invalidez"
0.0	0.1361	gobierno, congreso, ministro, comision, europeo, pleno, diputado, presentar, explicar, gestion, apoyar, exigir, grupo, propuesta, debate, mesa, aprobar, alarma, consejo, presupuesto	['portavoz', 'govern', 'negar', 'responder', 'pregunta', 'castellano', 'rueda', 'prensa', 'turno', 'pregunta', 'castellano', 'habitualmente', 'explicar', 'repetir', 'catalan', 'producir']	@user10	La portavoz del Govern se niega a responder una pregunta en castellano en rueda de prensa En el turno de las preguntas en castellano lo q se hace habitualmente es explicar y repetir lo que antes se ha preguntado en catalán, algo q hoy no se ha producido
0.0	0.1232	gobierno, congreso, ministro, comision, europeo, pleno, diputado, presentar, explicar, gestion, apoyar, exigir, grupo, propuesta, debate, mesa, aprobar, alarma, consejo, presupuesto	['presidente', 'acusar', 'aparheid', 'reunion', 'congreso', 'diputado', 'contrario', 'apoyar', 'solucion', 'gobernar', 'comunidad', 'madrid']	@user10	Abascal Presidente de [POLITICAL_PARTY] acusa a Ciudadanos de tratarlos como el aparheid y pide a Casado y Rivera a una reunión en el Congreso de los Diputados De lo contrario no apoyará una solución en Murcia ( donde gobernará el [POLITICAL_PARTY]) ni en la Comunidad de Madrid .
10.0	0.1382	caso, mentira, civil, verguenza, negar, cara, periodista, policia, juez, condenar, denunciar, razon, corrupcion, mentir, grave, cargo, informacion, prensa, tipo, falso	['caso', 'villarejo', 'imputar', 'exceo', 'bbva', 'angel', 'cano', 'exjefe', 'seguridad', 'banco', 'bbva', 'contratar', 'villarejo', 'frustar', 'asalto', 'sacyr', 'banco', 'investigar', 'principal', 'promotor', 'operacion']	@user10	Caso Villarejo: imputan al exCEO del BBVA Ángel Cano y al exjefe de seguridad del banco El BBVA contrató a Villarejo para frustar el asalto de Sacyr y el [POLITICAL_PARTY] al banco, un trabajo que pasaba por investigar a los principales promotores de la operación
9.0	0.1209	madrid, publico, pandemia, salud, comunidad, sanitario, medida, covid, sanidad, situacion, servicio, ayuso, crisis, unido, virus, dato, vacuna, evitar, profesional, falta	"['psicologo', 'bordo', ""'open"", 'arms', 'situacion', 'insostenible', 'correr', 'riesgo', 'tragedia', 'inmigrante', 'limite', 'fuerza', 'producir', 'suicidio', 'tirar', 'mar']"	@user10	El psicólogo a bordo del ‘Open Arms’:La situación es insostenible,corremos el riesgo de vivir una tragedia”Los 134 inmigrantes están al límite de sus fuerzas Se ha producido un intento de suicidio y q algunos han tratado de tirarse al mar
1.0	0.1602	partido, votar, derecha, voto, eleccion, ganar, izquierda, perder, cataluña, gobernar, mayoria, campaña, interes, gobierno, favor, mocion, oposicion, catalan, pacto, pactar	['junta', 'electoral', 'central', 'aceptar', 'peticion', 'excluir', 'huido', 'puigdemont', 'toni', 'comin', 'ponsati', 'candidatura', 'junt', 'cataluña', 'eleccion', 'europeo', 'jec', 'determinar', 'presentar', 'eleccion']	@user10	La Junta Electoral Central,ha aceptado la petición de Ciudadanos y el [POLITICAL_PARTY] de excluir a los huidos Puigdemont,Toni Comín y Clara Ponsatí de la candidatura de Junts per Catalunya a las elecciones europeas La JEC ha determinado q los tres,no podrán presentarse a estas elecciones.
1.0	0.125	partido, votar, derecha, voto, eleccion, ganar, izquierda, perder, cataluña, gobernar, mayoria, campaña, interes, gobierno, favor, mocion, oposicion, catalan, pacto, pactar	['navarra', 'canario', 'investidura', 'mano', 'pacto', 'navarra', 'adelantar', 'psn', 'comunidad', 'upn', 'investidura', 'abstener', 'evitar']	@user10	El [POLITICAL_PARTY] va a por Navarra y Canarias y deja la investidura de Sánchez en manos de [POLITICAL_PARTY] El pacto en Navarra adelanta que el PSN busca la comunidad. Sin UPN ni CC, la investidura solo sale si [POLITICAL_PARTY] o [POLITICAL_PARTY] se abstienen,lo q los [POLITICAL_PARTY] decían querer evitar
10.0	0.1313	caso, mentira, civil, verguenza, negar, cara, periodista, policia, juez, condenar, denunciar, razon, corrupcion, mentir, grave, cargo, informacion, prensa, tipo, falso	['jer', 'carmen', 'calvo', 'frase', 'entorno', 'echenique', 'garzon', 'lider', 'mantener', 'secreto', 'planton', 'vicepresidenta', 'enterar', 'ministra', 'coger', 'telefono']	@user10	“Que se j... Carmen Calvo”: la frase del entorno de Echenique que no conocía Garzon El líder de [POLITICAL_PARTY] mantuvo en secreto el plantón de Podemos a la vicepresidenta y se enteró por la ministra Montero de que era Pablo Iglesias el que no cogía el teléfono
8.0	0.1504	familia, vida, amigo, compañero, casa, hijo, apoyo, recordar, padre, sentir, muerte, fuerte, morir, abrazo, madre, miedo, sufrir, paz, querido, pena	['seguro', 'calido', 'hogar', 'casa', 'comida', 'caliente', 'rostro', 'amigo', 'preguntense', 'hombre', 'lodo', 'paz', 'luchar', 'pan', 'morir', 'no..', 'primo', 'levi', 'noche']	@user10	"Ustedes q viven seguros. En sus cálidos hogares. Ustedes q al volver a casa. Encuentran la comida caliente. Y rostros amigos. Pregúntense si es un hombre. El q trabaja en el lodo. El q no conoce la paz. El q lucha por medio pan. El q muere por un sí o un no"". Primo Levi . Buenas Noches"
1.0	0.0897	partido, votar, derecha, voto, eleccion, ganar, izquierda, perder, cataluña, gobernar, mayoria, campaña, interes, gobierno, favor, mocion, oposicion, catalan, pacto, pactar	['escandalo', 'ucraniano', 'trump', 'gota', 'colmar', 'vaso', 'abuso']	@user10	El escándalo ucraniano de Trump ; la gota que colma el vaso del abuso de Donald Trump - ¡Pepe Oneto
0.0	0.0897	gobierno, congreso, ministro, comision, europeo, pleno, diputado, presentar, explicar, gestion, apoyar, exigir, grupo, propuesta, debate, mesa, aprobar, alarma, consejo, presupuesto	['labbc', 'cese', 'usurpacion', 'comenzar', 'ministro', 'defensa', '.golpe']	@user10	"Segun laBBC : El cese de la usurpación comenzó hoy"", dijo @user, mientras que el ministro de Defensa @user habla de un intento de ""golpe de Estado"""
5.0	0.1361	libertad, defender, español, democracia, justicia, victima, pueblo, eta, historia, defensa, rey, odio, memoria, constitucion, acto, democratico, institucion, vasco, recordar, dignidad	['guadar', 'liberar', 'arresto', 'leopoldo', 'convocar', 'militar', 'pueblo', 'calle', 'venezuela', '.dice', 'video', 'aparecer', 'referencia', 'puesta', 'marcha', 'fase', 'operacion', 'libertad']	@user10	"Guaidó libera de su arresto a Leopoldo López y convoca a los militares y al pueblo a tomar las calles de Venezuela El momento es ahora""dice en un vídeo donde aparece junto a López,en referencia a la puesta en marcha de la fase final de Operación Libertad"
